product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,month,year,demand_level,recommended_quantity,prompt,response
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0.0,196.01,2025-07-05,37,3.0,False,No Return,7,2025,Low Demand,42,"Season: Spring, Category: Outerwear, Brand: Zara, Color: Red, Price: 196.01, Rating: 3.0, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 42 units of Outerwear (Zara, Red) for Spring season. Current demand is Low Demand with a customer rating of 3.0/5."
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0.0,119.64,2025-08-06,2,2.5,False,No Return,8,2025,High Demand,32,"Season: Winter, Category: Tops, Brand: Uniqlo, Color: Pink, Price: 119.64, Rating: 2.5, Markdown: 0.0%, Demand: High Demand","Recommend stocking 32 units of Tops (Uniqlo, Pink) for Winter season. Current demand is High Demand with a customer rating of 2.5/5."
FB000003,Accessories,Uniqlo,Winter,Unknown,Black,33.8,0.0,33.8,2025-08-06,22,4.3,False,No Return,8,2025,Medium Demand,37,"Season: Winter, Category: Accessories, Brand: Uniqlo, Color: Black, Price: 33.80, Rating: 4.3, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 37 units of Accessories (Uniqlo, Black) for Winter season. Current demand is Medium Demand with a customer rating of 4.3/5."
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0.0,75.36,2025-07-07,48,2.6,False,No Return,7,2025,Low Demand,53,"Season: Spring, Category: Shoes, Brand: Uniqlo, Color: Black, Price: 75.36, Rating: 2.6, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 53 units of Shoes (Uniqlo, Black) for Spring season. Current demand is Low Demand with a customer rating of 2.6/5."
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0.0,105.02,2025-08-06,10,3.0,False,No Return,8,2025,High Demand,40,"Season: Winter, Category: Tops, Brand: Banana Republic, Color: Black, Price: 105.02, Rating: 3.0, Markdown: 0.0%, Demand: High Demand","Recommend stocking 40 units of Tops (Banana Republic, Black) for Winter season. Current demand is High Demand with a customer rating of 3.0/5."
FB000006,Accessories,Zara,Fall,Unknown,White,35.03,35.4,22.63,2025-08-06,38,2.9,True,Color Mismatch,8,2025,Low Demand,43,"Season: Fall, Category: Accessories, Brand: Zara, Color: White, Price: 22.63, Rating: 2.9, Markdown: 35.4%, Demand: Low Demand","Recommend stocking 43 units of Accessories (Zara, White) for Fall season. Current demand is Low Demand with a customer rating of 2.9/5."
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,2024-10-29,38,2.6,False,No Return,10,2024,Low Demand,43,"Season: Spring, Category: Bottoms, Brand: Zara, Color: Gray, Price: 24.49, Rating: 2.6, Markdown: 54.5%, Demand: Low Demand","Recommend stocking 43 units of Bottoms (Zara, Gray) for Spring season. Current demand is Low Demand with a customer rating of 2.6/5."
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,2025-08-06,47,1.6,False,No Return,8,2025,Low Demand,52,"Season: Winter, Category: Dresses, Brand: Mango, Color: Blue, Price: 71.32, Rating: 1.6, Markdown: 22.1%, Demand: Low Demand","Recommend stocking 52 units of Dresses (Mango, Blue) for Winter season. Current demand is Low Demand with a customer rating of 1.6/5."
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,2025-03-24,14,3.0,False,No Return,3,2025,Medium Demand,29,"Season: Spring, Category: Outerwear, Brand: Uniqlo, Color: Green, Price: 198.58, Rating: 3.0, Markdown: 12.8%, Demand: Medium Demand","Recommend stocking 29 units of Outerwear (Uniqlo, Green) for Spring season. Current demand is Medium Demand with a customer rating of 3.0/5."
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,2025-08-06,37,3.0,False,No Return,8,2025,Low Demand,42,"Season: Fall, Category: Outerwear, Brand: H&M, Color: Pink, Price: 221.33, Rating: 3.0, Markdown: 10.9%, Demand: Low Demand","Recommend stocking 42 units of Outerwear (H&M, Pink) for Fall season. Current demand is Low Demand with a customer rating of 3.0/5."
FB000011,Tops,Mango,Spring,L,Black,116.84,0.0,116.84,2025-04-25,3,4.4,False,No Return,4,2025,High Demand,33,"Season: Spring, Category: Tops, Brand: Mango, Color: Black, Price: 116.84, Rating: 4.4, Markdown: 0.0%, Demand: High Demand","Recommend stocking 33 units of Tops (Mango, Black) for Spring season. Current demand is High Demand with a customer rating of 4.4/5."
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0.0,146.98,2025-08-06,2,3.4,False,No Return,8,2025,High Demand,32,"Season: Winter, Category: Shoes, Brand: Uniqlo, Color: Blue, Price: 146.98, Rating: 3.4, Markdown: 0.0%, Demand: High Demand","Recommend stocking 32 units of Shoes (Uniqlo, Blue) for Winter season. Current demand is High Demand with a customer rating of 3.4/5."
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0.0,37.51,2025-01-04,43,3.0,False,No Return,1,2025,Low Demand,48,"Season: Spring, Category: Bottoms, Brand: Ann Taylor, Color: White, Price: 37.51, Rating: 3.0, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 48 units of Bottoms (Ann Taylor, White) for Spring season. Current demand is Low Demand with a customer rating of 3.0/5."
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0.0,48.15,2025-08-06,39,1.6,False,No Return,8,2025,Low Demand,44,"Season: Fall, Category: Dresses, Brand: Uniqlo, Color: Beige, Price: 48.15, Rating: 1.6, Markdown: 0.0%, Demand: Low Demand","Recommend stocking 44 units of Dresses (Uniqlo, Beige) for Fall season. Current demand is Low Demand with a customer rating of 1.6/5."
FB000015,Tops,Mango,Winter,M,Beige,79.66,0.0,79.66,2025-08-06,7,1.7,False,No Return,8,2025,High Demand,37,"Season: Winter, Category: Tops, Brand: Mango, Color: Beige, Price: 79.66, Rating: 1.7, Markdown: 0.0%, Demand: High Demand","Recommend stocking 37 units of Tops (Mango, Beige) for Winter season. Current demand is High Demand with a customer rating of 1.7/5."
FB000016,Accessories,Mango,Winter,Unknown,Green,67.57,0.0,67.57,2025-08-06,17,2.4,False,No Return,8,2025,Medium Demand,32,"Season: Winter, Category: Accessories, Brand: Mango, Color: Green, Price: 67.57, Rating: 2.4, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 32 units of Accessories (Mango, Green) for Winter season. Current demand is Medium Demand with a customer rating of 2.4/5."
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0.0,123.53,2025-08-06,14,4.6,False,No Return,8,2025,Medium Demand,29,"Season: Summer, Category: Shoes, Brand: Gap, Color: Beige, Price: 123.53, Rating: 4.6, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 29 units of Shoes (Gap, Beige) for Summer season. Current demand is Medium Demand with a customer rating of 4.6/5."
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0.0,102.35,2025-08-06,14,3.5,False,No Return,8,2025,Medium Demand,29,"Season: Winter, Category: Tops, Brand: Ann Taylor, Color: Navy, Price: 102.35, Rating: 3.5, Markdown: 0.0%, Demand: Medium Demand","Recommend stocking 29 units of Tops (Ann Taylor, Navy) for Winter season. Current demand is Medium Demand with a customer rating of 3.5/5."
